datetime,open,high,low,close,volume
2026-02-01 11:26:00,82511.76,82584.0,82498.49,82571.14,201808
2026-02-01 11:27:00,82581.32,82598.49,82542.03,82550.71,34144
2026-02-01 11:28:00,82544.78,82544.78,82507.83,82526.51,35069
2026-02-01 11:29:00,82521.56,82540.72,82507.94,82537.92,34612
2026-02-01 11:30:00,82537.93,82601.12,82537.93,82598.04,52713
2026-02-01 11:31:00,82599.12,82603.87,82558.36,82565.83,34208
2026-02-01 11:32:00,82563.51,82563.51,82514.65,82514.65,14025
2026-02-01 11:33:00,82512.03,82546.37,82512.03,82531.09,24602
2026-02-01 11:34:00,82526.55,82528.76,82510.93,82525.04,35489
2026-02-01 11:35:00,82530.27,82554.73,82526.06,82544.88,17194
2026-02-01 11:36:00,82546.19,82557.36,82523.57,82525.98,18922
2026-02-01 11:37:00,82533.51,82563.87,82527.89,82550.73,135706
2026-02-01 11:38:00,82548.7,82548.7,82515.56,82515.56,152517
2026-02-01 11:39:00,82519.14,82522.57,82479.0,82481.64,56894
2026-02-01 11:40:00,82481.76,82487.66,82460.11,82461.6,57899
2026-02-01 11:41:00,82457.84,82457.84,82388.21,82388.61,54992
2026-02-01 11:42:00,82379.56,82379.56,82289.34,82340.97,89836
2026-02-01 11:43:00,82345.99,82390.53,82345.91,82387.71,52454
2026-02-01 11:44:00,82390.59,82393.33,82319.28,82331.82,59598
2026-02-01 11:45:00,82326.37,82333.09,82222.57,82235.35,62079
2026-02-01 11:46:00,82230.95,82308.13,82230.75,82308.07,43791
2026-02-01 11:47:00,82311.79,82323.2,82280.94,82323.2,35168
2026-02-01 11:48:00,82323.2,82323.2,82289.14,82293.23,35455
2026-02-01 11:49:00,82291.39,82301.65,82272.03,82291.95,23225
2026-02-01 11:50:00,82289.85,82346.36,82283.14,82346.36,39668
2026-02-01 11:51:00,82346.36,82377.21,82346.36,82377.21,28487
2026-02-01 11:52:00,82376.56,82382.32,82360.45,82374.66,33342
2026-02-01 11:53:00,82371.9,82384.72,82358.3,82366.96,16686
2026-02-01 11:54:00,82373.12,82386.33,82220.6,82241.8,98133
2026-02-01 11:55:00,82243.88,82256.57,82178.33,82246.73,63691
2026-02-01 11:56:00,82245.45,82248.78,82206.09,82231.23,116929
2026-02-01 11:57:00,82224.76,82302.56,82214.71,82302.56,59857
2026-02-01 11:58:00,82304.39,82317.56,82257.42,82261.57,47337
2026-02-01 11:59:00,82263.77,82263.77,82226.36,82230.9,58700
2026-02-01 12:00:00,82229.65,82229.65,82161.24,82176.33,95447
2026-02-01 12:01:00,82165.65,82173.95,82118.48,82173.95,106456
2026-02-01 12:02:00,82200.94,82219.4,82163.3,82164.49,41210
2026-02-01 12:03:00,82159.79,82164.12,82130.39,82139.44,83595
